,P,Q,R,S
R1,DT,History,Computing,Computing
R2,DT,DT,DT,DT
R3,Computing,Computing,Computing,Computing
R4,Food,Geography,Business,Business
R5,Computing,History,Computing,Computing
R6,DT,DT,DT,Art
R7,DT,DT,Geography,Geography
R8,Computing,Drama,Drama,Drama
R9,Spanish,Drama,Business,Business
R10,Spanish,Art,Art,Art
R11,German,Art,Business,Business
R12,Spanish,Geography,Geography,Geography
R13,DT,DT,Business,Business
R14,Spanish,DT,Business,Business
R15,Food,Art,Art,Art
R16,DT,DT,Business,Business
R17,Spanish,History,Business,Business
R18,DT,Drama,Drama,Drama
R19,Computing,Computing,Computing,Computing
R20,Geography,Geography,Geography,Geography
R21,DT,Art,Art,Art
R22,Computing,Computing,Business,Business
R23,Spanish,Drama,Drama,Drama
R24,Food,Drama,Drama,Drama
R25,German,Drama,Drama,Drama
R26,Geography,Geography,Business,Business
R27,Food,Geography,Geography,Geography
R28,DT,History,Geography,DT
R29,Food,Drama,Drama,Art
R30,German,History,Business,Business
R31,Computing,DT,Computing,Computing
R32,Food,History,Business,Business
R33,Geography,Art,Art,Geography
R34,Food,Geography,Geography,Geography
R35,Spanish,Drama,Drama,Drama
R36,Geography,Drama,Drama,Drama
R37,Computing,Art,Business,Business
R38,DT,DT,DT,DT
R39,Computing,History,Computing,Drama
R40,Spanish,History,Geography,Geography
R41,Geography,Drama,Business,Business
R42,Computing,Art,Art,Art
R43,Computing,Computing,Business,Business
R44,Geography,Art,Geography,Art
R45,Computing,Drama,Drama,Drama
R46,Computing,Art,Business,Business
R47,Computing,Computing,Computing,Computing
R48,Food,Art,Drama,Drama
R49,Food,Drama,Drama,Drama
R50,DT,DT,Geography,DT
R51,Computing,Computing,Business,Business
R52,DT,DT,DT,DT
R53,Computing,Computing,Business,Business
R54,German,Drama,Drama,Drama
R55,Spanish,Drama,Drama,Drama
R56,Spanish,Geography,Geography,Art
R57,Geography,Art,Art,Geography
R58,Geography,History,Geography,Geography
R59,Computing,Computing,Computing,Computing
R60,German,History,Business,Business
R61,German,Art,Drama,Drama
R62,Computing,Computing,Computing,DT
R63,Spanish,Geography,Geography,Geography
R64,Computing,History,Computing,Business
R65,Spanish,DT,Business,Business
R66,Geography,History,Drama,Drama
R67,DT,Drama,Drama,Drama
R68,Computing,Art,Computing,Art
R69,DT,DT,Business,Business
R70,Computing,Computing,Computing,Computing
