,P,Q,R,S
R1,Art,French,Geography,PE
R2,Art,Drama,History,RS
R3,Art,Computing,Food,PE
R4,Business,Computing,Geography,German
R5,Art,Food,History,Music
R6,Business,Food,History,Geography
R7,Computing,Food,Drama,PE
R8,Business,DT,History,German
R9,French,Geography,Music,RS
R10,French,Computing,German,Spanish
R11,Art,History,RS,Spanish
R12,Art,Drama,German,Spanish
R13,Business,Drama,French,Spanish
R14,Computing,DT,Geography,Music
R15,Art,Food,German,Music
R16,Business,Food,French,PE
R17,Business,Drama,History,Spanish
R18,Art,Computing,Geography,PE
R19,Art,History,French,Music
R20,Art,Drama,History,German
R21,French,DT,PE,Spanish
R22,History,Music,RS,Spanish
R23,French,Drama,PE,Computing
R24,Art,Drama,PE,Business
R25,Computing,Food,History,RS
R26,French,DT,German,RS
R27,Computing,Food,History,PE
R28,History,Geography,PE,Spanish
R29,Drama,Geography,German,Spanish
R30,Art,History,French,Business
R31,Computing,History,PE,Spanish
R32,Drama,DT,German,PE
R33,French,Drama,History,RS
R34,French,Food,Music,Computing
R35,Business,Computing,German,Music
R36,History,German,RS,Spanish
R37,Art,Food,Geography,DT
R38,Art,Drama,PE,RS
R39,German,Music,PE,RS
R40,Art,Computing,German,Business
R41,French,Food,Business,DT
R42,Art,Food,PE,Geography
R43,French,Food,PE,Drama
R44,Art,French,German,Spanish
R45,French,DT,Geography,RS
R46,Drama,Food,RS,Music
R47,Art,French,PE,Music
R48,Business,Food,History,RS
R49,Food,Music,RS,Spanish
R50,Business,Food,Geography,Music
R51,Art,DT,Geography,Spanish
R52,French,History,Music,Spanish
R53,Art,History,Geography,Business
R54,Art,Drama,Computing,DT
R55,Computing,Food,RS,Music
R56,Food,DT,PE,RS
R57,French,Food,German,Business
R58,Computing,Food,History,Drama
R59,French,Computing,PE,German
R60,Food,DT,PE,Spanish
R61,Art,DT,History,Computing
R62,Art,Geography,Business,Spanish
R63,Business,Food,History,Music
R64,Art,Computing,PE,Geography
R65,Art,Drama,History,Geography
R66,Art,Food,Drama,Spanish
R67,French,DT,History,PE
R68,Business,Food,History,RS
R69,Business,DT,History,Music
R70,Art,History,German,Music
R71,Art,German,PE,Spanish
R72,Drama,DT,German,Geography
R73,Art,Drama,PE,Music
R74,Computing,Geography,German,Spanish
R75,Art,Computing,History,Music
R76,History,Food,RS,DT
R77,French,DT,German,RS
R78,Art,Food,History,DT
R79,Art,Food,PE,Geography
R80,Art,Drama,History,Geography
R81,Computing,DT,German,RS
R82,History,Geography,German,RS
R83,French,Drama,German,Geography
R84,French,DT,Music,Drama
R85,Computing,Food,German,Music
R86,Computing,DT,PE,RS
R87,French,Drama,History,Geography
R88,Business,Food,Geography,Computing
R89,Computing,Drama,Geography,Spanish
R90,Business,Food,Computing,DT
R91,Art,Food,Geography,RS
R92,Art,Drama,RS,Business
R93,Art,History,German,PE
R94,Art,History,Music,Business
R95,Art,Drama,Geography,Business
R96,Business,Computing,German,PE
R97,French,Food,History,Spanish
R98,Computing,History,PE,Spanish
R99,French,German,PE,RS
R100,French,DT,PE,Spanish
R101,Art,DT,Geography,Music
R102,Art,Drama,Business,Computing
R103,French,Food,History,Drama
R104,Art,History,RS,Spanish
R105,French,DT,RS,Spanish
R106,French,Food,Computing,Drama
R107,Business,Food,PE,Music
R108,French,Food,PE,Geography
R109,Art,French,PE,RS
R110,Art,Food,Computing,Drama
R111,French,Music,RS,Business
R112,Computing,Drama,History,Spanish
R113,French,Food,PE,Drama
R114,Art,DT,Geography,French
R115,French,Geography,PE,German
R116,Geography,PE,RS,Spanish
R117,French,DT,RS,Computing
R118,Computing,Food,German,Drama
R119,Art,Geography,RS,Music
R120,Business,Food,Geography,Spanish
R121,Food,Music,German,RS
R122,French,Drama,Geography,Spanish
R123,History,Music,PE,Spanish
R124,Art,Food,PE,Spanish
R125,Business,Drama,German,RS
R126,History,Music,German,RS
R127,Computing,Geography,RS,Spanish
R128,History,Music,PE,German
R129,Art,Computing,RS,French
R130,History,DT,German,Geography
R131,French,DT,History,Spanish
R132,Computing,Drama,History,Music
R133,History,Geography,PE,German
R134,Art,Music,French,Spanish
